City,State,Zip,Bank,BankState,NAICS,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,DisbursementGross,BalanceGross,GrAppv,SBA_Appv,Defaulted
RANTOUL,IL,61866,BUSEY BANK,IL,0,84,1,2.0,0,0,1,0,N,Y,42000.0,0.0,42000.0,33600.0,0
BOISE,ID,83704,WELLS FARGO BANK NATL ASSOC,SD,0,84,7,1.0,0,0,1,0,N,N,15000.0,0.0,15000.0,13500.0,0
CAROL STREAM,IL,60188,"SOMERCOR 504, INC.",IL,0,240,19,1.0,15,0,1,0,N,N,497000.0,0.0,497000.0,497000.0,0
SOMERSWORTH,NH,3878,CITIZENS BANK NATL ASSOC,NH,235610,84,21,1.0,0,21,1,1,Y,N,20000.0,0.0,20000.0,10000.0,0
CHERRY HILL,NJ,8002,CITIZENS BANK NATL ASSOC,RI,541511,84,2,2.0,1,3,1,1,N,N,100000.0,0.0,100000.0,50000.0,0
SALIDA,CO,81201,FIRST SOUTHWEST BANK,CO,0,180,3,1.0,0,0,1,0,N,N,273000.0,0.0,273000.0,221130.0,0
VALLEY STREAM,NY,11580,JPMORGAN CHASE BANK NATL ASSOC,IL,561990,62,6,1.0,1,6,0,1,N,N,99250.0,0.0,100000.0,50000.0,1
UNION CITY,NJ,7087,VALLEY NATIONAL BANK,NJ,445299,84,7,1.0,8,15,1,1,Y,N,156215.0,0.0,25000.0,12500.0,0
POCATELLO,ID,83201,FIRST-CITIZENS BK & TR CO,CO,811192,216,4,1.0,0,0,1,2,N,N,314000.0,0.0,314000.0,235500.0,0
ST. CLOUD,MN,56301,WELLS FARGO BANK NATL ASSOC,MN,0,84,40,1.0,0,0,1,0,0,N,200000.0,0.0,200000.0,150000.0,0
FAIRFAX,VA,22031,UNITED BANK,VA,0,240,10,1.0,0,0,1,0,0,N,308000.0,0.0,308000.0,215600.0,0
SPANAWAY,WA,98387,"WACHOVIA SBA LENDING, INC.",CA,0,297,1,2.0,2,0,1,1,0,N,1078300.0,0.0,1115300.0,775691.0,0
BROOKLYN (BOROUGH OF NEW YORK),NY,11234,FIRST NIAGARA BANK NATL ASSOC,NY,532291,84,3,1.0,3,3,1,1,Y,N,100000.0,0.0,100000.0,50000.0,0
WANTAGH,NY,11793,JPMORGAN CHASE BANK NATL ASSOC,IL,236118,55,50,1.0,0,50,1,1,Y,N,48248.0,0.0,30000.0,15000.0,1
MIAMI,FL,33177,JPMORGAN CHASE BANK NATL ASSOC,IL,811420,84,1,2.0,0,1,1,1,Y,N,30000.0,0.0,30000.0,15000.0,0
ST. LOUIS,MI,48880,COMMERCIAL BANK,MI,484110,120,4,1.0,11,4,1,2,0,N,350000.0,0.0,350000.0,175000.0,0
COLUMBUS,OH,43221,DELAWARE CNTY BK & TR CO,OH,448140,38,5,1.0,0,0,1,0,N,N,30000.0,0.0,30000.0,27000.0,1
PATTERSON,CA,95363,BBCN BANK,CA,561431,49,3,2.0,0,3,0,1,N,N,25000.0,0.0,25000.0,21250.0,1
NORTH LIMA,OH,44452,JPMORGAN CHASE BANK NATL ASSOC,IL,333999,13,6,1.0,1,6,1,2,Y,N,62814.0,0.0,25000.0,12500.0,1
RALEIGH,NC,27604,"SUPERIOR FINANCIAL GROUP, LLC",CA,624410,49,4,1.0,0,4,0,1,N,N,20000.0,0.0,20000.0,17000.0,1
LEETONIA,OH,44431,THE HUNTINGTON NATIONAL BANK,OH,541810,63,2,1.0,0,2,1,2,0,N,22000.0,0.0,22000.0,11000.0,0
TEMECULA,CA,92592,CDC SMALL BUS. FINAN CORP,CA,336370,240,1,1.0,20,44,1,0,N,N,216000.0,0.0,216000.0,216000.0,0
JUNCTION CITY,KS,66441,COMMERCE BANK,MO,448310,75,1,2.0,0,0,1,2,N,N,100000.0,0.0,100000.0,85000.0,1
GORHAM,NH,3581,BANK OF AMERICA NATL ASSOC,CT,313311,72,10,1.0,0,0,1,0,N,N,100000.0,0.0,100000.0,80000.0,0
STUDIO CITY,CA,91604,U.S. BANK NATIONAL ASSOCIATION,OH,512110,300,10,1.0,0,0,1,1,0,N,129500.0,0.0,129500.0,77169.0,0
CARLISLE,OH,45005,CERTIFIED DEVEL CORP - WARREN,OH,541211,240,60,1.0,17,0,1,1,N,N,584000.0,0.0,584000.0,584000.0,0
NEWKIRK,IA,51238,SIOUXLAND ECONOMIC DEVEL CORP,IA,0,240,24,2.0,24,0,1,0,N,N,867000.0,0.0,867000.0,867000.0,0
ZIONSVILLE,IN,46077,JPMORGAN CHASE BANK NATL ASSOC,IL,0,60,60,1.0,0,0,1,0,N,N,550000.0,0.0,550000.0,467500.0,0
OTTAWA,OH,45875,THE HUNTINGTON NATIONAL BANK,OH,624410,240,22,1.0,0,0,1,0,N,N,152500.0,0.0,152500.0,114375.0,0
SONORA,CA,95370,SUCCESS CAP. EXPANSION & DEVEL,CA,0,240,9,1.0,9,0,0,0,N,N,164000.0,0.0,164000.0,164000.0,0
MAPLEWOOD,MO,63143,CITIZENS NATL BK OF GR. ST. LO,MO,422330,90,5,1.0,0,0,1,0,N,Y,50000.0,0.0,50000.0,40000.0,0
PIERRE,SD,57501,AMERICAN BANK & TRUST,SD,811121,120,4,1.0,0,0,1,0,N,N,53000.0,0.0,53000.0,42400.0,0
CHANDLER,AZ,85225,COMMUNITY BANK OF NEVADA,NV,238220,300,9,1.0,0,9,9806,1,0,N,344190.0,0.0,346500.0,259875.0,0
DANIELSVILLE,GA,30633,FIRST FINANCIAL BANK,AR,112320,216,2,1.0,0,0,1,2,N,N,1540000.0,0.0,1540000.0,1155000.0,0
HEADLAND,AL,36345,WELLS FARGO BANK NATL ASSOC,SD,444130,164,1,1.0,0,0,1,0,N,N,100000.0,0.0,100000.0,90000.0,0
ASHBURN,VA,20147,CAPITAL ONE NATL ASSOC,VA,811122,24,1,1.0,0,1,0,1,N,N,20000.0,0.0,20000.0,10000.0,0
ROCHESTER,NY,14612,HSBC BK USA NATL ASSOC,NY,0,40,1,2.0,0,0,0,0,N,N,85700.0,0.0,85700.0,77130.0,0
SEATTLE,WA,98148,BANK OF AMERICA NATL ASSOC,NC,811420,31,2,1.0,0,2,0,1,Y,N,28237.0,0.0,10000.0,5000.0,1
EMERY,SD,57332,THE SECURITY STATE BANK,SD,453110,60,1,1.0,0,0,1,1,0,Y,20000.0,0.0,20000.0,17000.0,0
GLENDALE,CA,91204,CALIFORNIA STATEWIDE CERT. DEV,CA,541110,240,1,1.0,1,0,1,1,0,N,257000.0,0.0,257000.0,257000.0,0
LA PALMA,CA,90623,HANMI BANK,CA,624410,300,17,1.0,0,17,1,1,0,N,900000.0,0.0,900000.0,675000.0,0
ELKHART,IN,46514,INDIANA COMMUNITY BANK,IN,331312,120,2,1.0,6,0,0,1,N,N,113500.0,0.0,113500.0,85125.0,0
MIAMI,FL,33193,JPMORGAN CHASE BANK NATL ASSOC,IL,531312,67,1,1.0,2,3,1,1,Y,N,63802.0,0.0,50000.0,25000.0,1
GRAND PRAIRIE,TX,75052,JPMORGAN CHASE BANK NATL ASSOC,IL,446199,49,5,1.0,2,5,1,0,0,N,99460.0,0.0,100000.0,85000.0,1
SHERMAN OAKS,CA,91403,JPMORGAN CHASE BANK NATL ASSOC,WA,621210,108,4,1.0,0,0,1,0,N,Y,75000.0,0.0,75000.0,60000.0,0
VICTORVILLE,CA,92392,DESERT COMMUN BANK A DIVISION,CA,235310,300,60,1.0,0,0,1,0,0,N,171000.0,0.0,171000.0,128250.0,0
PLUMMER,ID,83851,"BUSINESS LOAN CENTER, LLC",SC,238210,72,30,2.0,5,30,1,2,0,N,985000.0,0.0,985000.0,738750.0,1
WARWICK (RR NAME APPONAUG),RI,2889,COASTWAY COMMUNITY BANK,RI,524210,36,3,1.0,0,3,1,1,Y,N,92831.0,0.0,50000.0,25000.0,0
SAN DIEGO,CA,92103,FIRST BANK,CA,0,84,2,1.0,0,0,1,0,N,Y,50000.0,0.0,50000.0,40000.0,0
Springfield,MA,1118,"TD BANK, NATIONAL ASSOCIATION",DE,624410,84,5,1.0,1,6,0,2,N,N,66000.0,0.0,66000.0,56100.0,0
LEXINGTON,KY,40577,WEST VIRGINIA CERT. DEVEL CORP,WV,0,240,50,2.0,50,0,29720,0,N,N,348000.0,0.0,348000.0,348000.0,0
SALISBURY,MA,1952,CAPITAL ONE NATL ASSOC,VA,561621,64,2,1.0,0,2,0,1,N,N,15000.0,0.0,15000.0,7500.0,1
SHARPSBURG (SHARPSBORO),GA,30277,JPMORGAN CHASE BANK NATL ASSOC,IL,339950,60,4,1.0,0,4,1,2,Y,N,19604.0,0.0,18800.0,9400.0,1
LAWRENCE,MA,1844,PEOPLE'S UNITED BANK,MA,722110,120,12,1.0,0,0,1,1,0,Y,75000.0,0.0,75000.0,63750.0,0
PHILADELPHIA,PA,19120,"PNC BANK, NATIONAL ASSOCIATION",DE,485991,60,35,1.0,0,35,1,1,Y,N,200000.0,0.0,200000.0,100000.0,0
NORWALK,CT,6851,"TD BANK, NATIONAL ASSOCIATION",DE,235310,36,16,1.0,0,16,1,1,Y,N,150000.0,0.0,150000.0,75000.0,0
AUSTIN,TX,78703,JPMORGAN CHASE BANK NATL ASSOC,IL,541219,84,10,2.0,0,10,0,1,Y,N,25000.0,0.0,25000.0,12500.0,0
SCOTT,LA,70583,LOUISIANA CAP. CERT. DEVEL COM,LA,0,240,11,1.0,4,7,1,0,N,N,153000.0,0.0,153000.0,153000.0,0
MOUNTAIN HOME,AR,72653,U.S. BANK NATIONAL ASSOCIATION,AR,0,84,2,2.0,0,0,1,0,N,Y,30000.0,0.0,30000.0,27000.0,0
DUNCANVILLE,TX,75137,BANK OF AMERICA NATL ASSOC,NC,621111,84,4,1.0,0,0,1,1,Y,N,36110.0,0.0,30000.0,15000.0,0
TOPEKA,KS,66605,BANK OF AMERICA NATL ASSOC,NC,0,71,2,2.0,0,0,1,0,Y,N,50000.0,0.0,50000.0,25000.0,0
BROCKTON,MA,2301,CITIZENS BANK NATL ASSOC,RI,423940,84,2,1.0,0,2,1,1,Y,N,312508.0,0.0,57000.0,48450.0,0
CHICAGO,IL,60634,U.S. BANK NATIONAL ASSOCIATION,OH,445120,84,2,1.0,0,2,0,1,Y,N,73918.0,0.0,25000.0,12500.0,0
LAWRENCE,KS,66047,FIRST NATIONAL BANK OF OMAHA,NE,621610,36,4,2.0,0,0,1,0,N,Y,95000.0,0.0,95000.0,76000.0,0
AFTON,MN,55001,SPEDCO,MN,0,240,26,1.0,2,24,1,0,N,N,630000.0,0.0,630000.0,630000.0,0
POMPANO BEACH,FL,33064,BANK OF AMERICA NATL ASSOC,NC,561990,51,1,1.0,0,1,0,1,N,N,68873.0,0.0,30000.0,15000.0,1
GENEVA,NY,14456,FIRST NIAGARA BANK NATL ASSOC,NY,238210,12,2,1.0,0,2,1,1,Y,N,42870.0,0.0,35000.0,17500.0,0
Dunwoody,GA,30338,GEORGIA PRIMARY BANK,GA,423390,84,3,2.0,3,0,0,1,N,N,500000.0,0.0,500000.0,450000.0,0
Watsonville,CA,95076,SANTA CRUZ COUNTY BANK,CA,488510,120,45,1.0,0,45,0,2,N,N,3000000.0,0.0,3000000.0,2700000.0,0
SCHAUMBURG,IL,60195,JPMORGAN CHASE BANK NATL ASSOC,IL,484110,84,2,2.0,1,0,0,1,Y,N,25150.0,0.0,25000.0,12500.0,0
